70000001,Mal,73.21,100,100001,BUY
70000002,Wash,76.56,200,100016,SELL
70000003,Mal,85.04,100,100075,BUY
70000004,Simon,72.54,100,100137,BUY
70000005,River,57.48,600,100142,BUY
70000006,Simon,90.96,100,100231,SELL
70000007,Simon,50.11,100,100292,BUY
70000008,Kaylee,64.4,100,100313,BUY
70000009,River,96.65,200,100334,SELL
70000010,Mal,71.09,200,100361,SELL
70000011,Mal,65.96,500,100435,SELL
70000012,Shepherd,92.97,200,100511,SELL
70000013,Zoe,75.11,100,100610,SELL
70000014,Zoe,72.54,300,100681,BUY
70000015,Kaylee,51.45,200,100766,BUY
70000016,Zoe,52.68,300,100769,BUY
70000017,River,50.33,600,100774,BUY
70000018,Zoe,92.97,100,100831,SELL
70000019,Shepherd,87.83,100,100927,SELL
70000020,Simon,65.63,200,100935,BUY
70000021,Wash,66.07,100,100977,BUY
70000022,Jayne,59.6,100,100985,BUY
70000023,Jayne,67.08,53,101078,BUY
70000024,Mal,78.46,300,101128,SELL
70000025,River,82.92,200,101223,SELL
70000026,River,69.75,200,101235,BUY
70000027,Jayne,86.83,300,101275,SELL
70000028,River,94.75,300,101277,SELL
70000029,Shepherd,57.37,100,101353,BUY
70000030,Jayne,55.8,200,101369,BUY
70000031,Kaylee,85.71,200,101448,SELL
70000032,Kaylee,89.84,500,101463,SELL
70000033,Jayne,90.29,400,101544,SELL
70000034,Kaylee,51.23,100,101614,BUY
70000035,Jayne,81.25,200,101659,BUY
70000036,Mal,94.2,309,101681,SELL
70000037,Mal,62.83,100,101753,BUY
70000038,Mal,95.65,200,101828,SELL
70000039,Shepherd,58.04,300,101912,BUY
70000040,Kaylee,64.62,200,101933,BUY
70000041,Kaylee,95.09,400,101989,SELL
70000042,Jayne,93.3,100,102077,SELL
70000043,Simon,77.79,400,102156,SELL
70000044,Inara,50.56,200,102245,BUY
70000045,Shepherd,78.57,200,102262,SELL
70000046,Mal,95.31,100,102353,SELL
70000047,River,91.63,100,102419,SELL
70000048,Zoe,66.41,500,102464,BUY
70000049,Zoe,55.69,200,102486,BUY
70000050,Simon,64.62,100,102539,BUY
70000051,Inara,60.16,100,102559,BUY
